Pergunta,Resposta
Quais os tipos de parto?,"Existem dois tipos de parto: o parto cirúrgico (cesárea) e o parto vaginal (ou natural).
Os partos vaginais podem ser diferenciados em: partos vaginais cirúrgicos, onde acontecem intervenções médicas como anestesia, aplicação de ocitocina (hormônio sintético que induz as contrações uterinas), episiotomia, etc. E partos vaginais naturais que são quase sem intervenções ou apenas se necessárias.
Já a cesárea é uma cirurgia que realiza um corte na parede abdominal e no útero. O bebê é retirado através desta abertura, que é fechada com pontos. A cesárea é uma cirurgia e, por isso, a recuperação da mãe é mais lenta que a do parto normal, mas atualmente é considerado um procedimento seguro."
O que é parto com fórceps?,"É quando um instrumento cirúrgico (fórceps) é introduzido no canal genital, ajustando-se dos dois lados da cabeça do bebê e puxando-o para fora. É utilizado quando o parto não transcorre bem e o bebê não consegue sair. Também é usado para auxiliar já no final do parto normal."
O que é parto Leboyer?,"Nesse tipo de parto, requer-se baixa luz e pouco som na sala, para não incomodar o bebê. Tenta-se amenizar o máximo possível a diferença entre o útero e o ambiente externo. Nesse caso, o pai pode dar o primeiro banho do bebê. Utilizado nos casos em que a mulher teve uma gravidez sem complicações."
O que é o parto de cócoras?,"A diferença para o parto normal é a posição da mulher, que fica de cócoras em vez de permanecer deitada. Devido à gravidade, a tendência é de um parto mais rápido. Mas atenção: ele só pode ser realizado em mulheres saudáveis e sem problemas de pressão e se o bebê estiver na posição cefálica (com a cabeça para baixo)."
Como é feito o parto na água?,"O parto é feito em uma banheira esterilizada e com água aquecida, a mulher dá à luz no mesmo ambiente em que o bebê se encontra no útero, ou seja, cercado de líquido. Como ele segue respirando pelo cordão umbilical por alguns segundos após o nascimento, não há risco de afogamento caso o parto seja conduzido por profissionais habilitados. Para a mãe, a água quente pode atenuar as dores e o cansaço do trabalho de parto."
O que é parto natural?,"É o parto vaginal feito sem intervenções médicas como a analgesia, o rompimento artificial da bolsa e a episiotomia. Apesar de proporcionar à mulher a experiência de parir em circunstâncias totalmente naturais, esse tipo de parto não é indicado para todas as mulheres."
O que é parto humanizado?,"No parto humanizado, as vontades da mulher são respeitadas. Ela deve contar com o apoio de seu marido e muitas vezes conta com a doula, formada em obstetrícia, que acompanha a mulher durante a gestação e o parto. Para um grupo de médicos, significa que o bebê fique sobre a barriga da mãe por alguns minutos após o parto."
O que é parto cesárea?,"Trata-se de uma cirurgia abdominal em que o médico faz uma pequena incisão no abdômen e na parte inferior do útero para retirar o bebê da barriga da mãe. Por apresentar maiores riscos de infecção e sangramento, a cesariana é indicada apenas quando há algum impedimento para a realização do parto normal."
Quem tem direito a licença maternidade?,"A licença-maternidade é um benefício para todas as mulheres que trabalham com a carteira assinada e acabaram de dar à luz. Além disso, quando se trata de uma adoção ou obtenção da guarda judicial de crianças com até 12 anos, também é possível utilizar o benefício."
Gestante desempregada também recebe licença maternidade?,"As mulheres que estão desempregadas, possuem empregos informais ou são empreendedoras também podem recebem o salário-maternidade e se afastar durante o período. Para a mulher que é contribuinte individual ou segurado especial, a carência é de 10 meses. Agora, caso esteja desempregada e já perdeu a qualidade de segurado, deve contribuir cinco meses da carência."
Uma mulher grávida pode ser mandada embora?,"A partir do momento da descoberta da gravidez, a mulher adquire estabilidade no emprego, mesmo que ainda não tenha feito a comunicação ao empregador. Essa estabilidade tem a duração de até cinco meses após o nascimento da criança.
Em situações que a mãe é demitida sem justa causa nesse período, a empresa será notificada para que ela seja readmitida ao seu posto de trabalho imediatamente. Caso a readmissão não seja possível, a empresa deverá pagar uma indenização à mulher, mantendo seu direito à licença-maternidade e todos os direitos trabalhistas."
O que é salário maternidade?,"O salário-maternidade é um benefício que garante auxílio financeiro às mães no período da licença-maternidade.
Ele é pago pela Previdência Social e seu objetivo é ajudar na complementação da renda de mulheres que precisam se afastar de suas funções profissionais por causa do nascimento ou da adoção de uma criança."
Quando é o salário da licença maternidade?,"Para as mulheres que trabalham formalmente, o valor a ser recebido durante a licença-maternidade é equivalente ao salário. Caso a remuneração seja variada, como no caso de pessoas que têm direito à comissão, o salário será uma média dos últimos seis meses.
Agora, para quem está desempregada, tem emprego informal ou é empreendedora, o salário-maternidade será no valor da soma dos 12 últimos salários relativos aos quais foram feitas as contribuições dividida por 12."
Como eu peço o benefício da licença maternidade?,"Para as mulheres que trabalham com carteira assinada, apenas é preciso informar a gravidez ou a adoção ao RH da empresa onde trabalha. É de responsabilidade da empresa comunicar ao INSS, solicitando o benefício.
O pagamento é feito automaticamente após o registro da criança. Agora, caso o benefício não seja repassado pela empresa, a mãe deve procurar uma agência do INSS ou ligar para o número 135 para regularizar sua situação.
Para as contribuintes individuais, desempregadas, seguradas especiais e empregadas domésticas  é necessário dar entrada em uma agência do INSS."
Quanto tempo dura a licença maternidade?,"A licença-maternidade dura 120 dias, podendo ser iniciada entre o 28º dia antes da previsão do parto até o dia do nascimento do bebê. Isso se aplica também aos casos em que o bebê é nasci morto.
A duração da licença pode ser estendida até 180 dias, que é o tempo recomendado pela Sociedade Brasileira de Pediatria (SBP).
Devido a isso, a  SBP possui o programa chamado Empresa Cidadã. As corporações privadas que aderirem ao programa e prorrogarem a licença de suas empregadas em mais 60 dias, podem obter benefícios fiscais."
Quando começa a licença maternidade?,"O afastamento pode se iniciar a partir do momento que a mulher decidir, podendo ser até 28 dias antes do parto, ou então a partir da data de nascimento do bebê.
Agora, o recebimento do salário-maternidade começa mediante apresentação de um atestado médico ou a certidão de nascimento do bebê."
Posso juntar as minhas férias com a licença maternidade?,"Sim, é possível juntar os 30 dias de férias à licença-maternidade. Para isso, a profissional precisa ter direito às férias e precisa ser aprovado pela a empresa que trabalha."
O pai tem direito a licença paternidade?,"O pai do recém-nascido possui direito a licença-paternidade remunerada de cinco dias corridos, a partir da data de nascimento da criança."
O que é licenca maternidade?,"A licença-maternidade é um benefício garantido na Constituição para todas as mulheres que são contribuintes da Previdência Social (INSS). Por meio desse benefício, as mulheres podem se ausentar do trabalho, sem perdas salariais por, no mínimo, 120 dias. O benefício é concedido nos casos em que a mulher gera e dá à luz a um bebê e também quando adota uma criança."
Com quantas semanas da pra ver o sexo do bebê?,"É possível saber o sexo do bebê a partir da 8ª semana de gravidez, através de um exame de sangue específico (sexagem fetal) ou a partir da 13ª semana pelo ultrassom."
Quanto tempo dura a gestação?,"De acordo com a Febrasgo, Federação Brasileira das Associações de Ginecologia e Obstetrícia, uma gestação a termo, ou seja, dentro do período ""certo"", é da 39ª até a 40ª semana e 6 dias."
"Eu não sei quem é o pai, o que eu faço?","A única forma de saber com certeza quem é o pai é pelo exame de DNA. Porém, em algumas situações é possível calcular a data de fecundação que pode sugerir quem é o pai.
- Se o intervalo das relações sexuais com os diferentes parceiros tiver sido de menos de 10 dias, só o teste de DNA pode dar uma resposta exata mesmo. A comparação entre o tipo sanguíneo do bebê com o da mãe e o dos possíveis pais em alguns casos pode dar a resposta, mas em muitos não dá.
- Se o intervalo das relações sexuais com os diferentes parceiros tiver sido de mais de 10 dias, dá para tentar calcular a data da fecundação para descobrir quem é o pai."
Como eu calculo a data de fecundação?,"Há duas maneiras de calcular: pela data da última menstração e pela data provável do parto.
Para calcular pela menstruação basta somar 11 e 21 dias ao primeiro dia da última menstruação. Por exemplo, se a última menstruação apareceu no dia 5 de Abril, significa que a concepção deve ter acontecido entre os dias 16 a 26 de Abril.
Se você não lembra a data da sua última menstruação é possível descobrir utilizando a data provável do parto. Basta subtrair 40 semanas da data provável do parto e aí você tem a data do primeiro dia da última menstração e então, é só fazer a mesma conta. Por exemplo, se a data prevista do parto é dia 10 de Novembro, deve-se retirar 40 semanas para descobrir o possível primeiro dia da última menstruação, que, neste caso será o dia 3 de Fevereiro. A esse dia, deve-se agora juntar os 11 e 21 dias para descobrir o intervalo de 10 dias para a concepção, que deverá ter sido então entre os dias 14 e 24 de Fevereiro."
